tconst	titleType	primaryTitle	startYear	averageRating	numVotes
tt0230600	movie	The Others	2001	7.6	391098
tt0234215	movie	The Matrix Reloaded	2003	7.2	627114
tt0238380	movie	Equilibrium	2002	7.3	345599
tt0238784	tvSeries	Gilmore Girls	2000	8.2	146586
tt0240772	movie	Ocean's Eleven	2001	7.7	614358
tt0241303	movie	Chocolat	2000	7.2	201100
tt0241527	movie	Harry Potter and the Sorcerer's Stone	2001	7.6	850426
tt0243133	movie	The Man Who Wasn't There	2001	7.5	114612
tt0245429	movie	Spirited Away	2001	8.6	840130
tt0245574	movie	And Your Mother Too	2001	7.7	128463
tt0245712	movie	Amores Perros	2000	8.1	251833
tt0245844	movie	The Count of Monte Cristo	2002	7.7	147655
tt0246578	movie	Donnie Darko	2001	8.0	845260
tt0248654	tvSeries	Six Feet Under	2001	8.7	148026
tt0249462	movie	Billy Elliot	2000	7.7	141970
tt0251160	movie	John Q	2002	7.1	143004
tt0253474	movie	The Pianist	2002	8.5	904360
tt0257044	movie	Road to Perdition	2002	7.7	283185
tt0257360	movie	About Schmidt	2002	7.2	133147
tt0258463	movie	The Bourne Identity	2002	7.8	573509
tt0264235	tvSeries	Curb Your Enthusiasm	2000	8.8	143190
tt0264464	movie	Catch Me If You Can	2002	8.1	1084438
tt0265086	movie	Black Hawk Down	2001	7.7	421244
tt0265666	movie	The Royal Tenenbaums	2001	7.6	311830
tt0266308	movie	Battle Royale	2000	7.5	193552
tt0266543	movie	Finding Nemo	2003	8.2	1106012
tt0266697	movie	Kill Bill: Vol. 1	2003	8.2	1183747
tt0266987	movie	Spy Game	2001	7.1	166319
tt0268126	movie	Adaptation.	2002	7.7	202083
tt0268380	movie	Ice Age	2002	7.5	515363
tt0268978	movie	A Beautiful Mind	2001	8.2	981237
tt0272152	movie	K-PAX	2001	7.4	192387
tt0272338	movie	Punch-Drunk Love	2002	7.3	175957
tt0274558	movie	The Hours	2002	7.5	138039
tt0275847	movie	Lilo & Stitch	2002	7.3	209898
tt0276751	movie	About a Boy	2002	7.1	191164
tt0276919	movie	Dogville	2003	8.0	157841
tt0277027	movie	I Am Sam	2001	7.6	154859
tt0277434	movie	We Were Soldiers	2002	7.2	150495
tt0278504	movie	Insomnia	2002	7.2	316609
tt0279600	tvSeries	Smallville	2001	7.5	137174
tt0281358	movie	A Walk to Remember	2002	7.3	220580
tt0285331	tvSeries	24	2001	8.4	196137
tt0285403	tvSeries	Scrubs	2001	8.4	269480
tt0287467	movie	Talk to Her	2002	7.9	117114
tt0289043	movie	28 Days Later	2002	7.5	441914
tt0289765	movie	Red Dragon	2002	7.2	289448
tt0289879	movie	The Butterfly Effect	2004	7.6	518531
tt0289992	movie	The Life of David Gale	2003	7.5	125557
tt0290334	movie	X2	2003	7.4	573321
tt0290673	movie	Irreversible	2002	7.3	146648
tt0290978	tvSeries	The Office	2001	8.5	122335
tt0292963	movie	Before the Devil Knows You're Dead	2007	7.3	110866
tt0293508	movie	The Phantom of the Opera	2004	7.2	130153
tt0295297	movie	Harry Potter and the Chamber of Secrets	2002	7.4	687607
tt0298130	movie	The Ring	2002	7.1	372795
tt0298148	movie	Shrek 2	2004	7.3	500984
tt0298203	movie	8 Mile	2002	7.2	318380
tt0299658	movie	Chicago	2002	7.2	242202
tt0299977	movie	Hero	2002	7.9	187139
tt0301357	movie	Good Bye Lenin!	2003	7.7	152125
tt0303461	tvSeries	Firefly	2002	9.0	280221
tt0304141	movie	Harry Potter and the Prisoner of Azkaban	2004	7.9	686505
tt0306414	tvSeries	The Wire	2002	9.3	373501
tt0307901	movie	25th Hour	2002	7.6	184227
tt0307987	movie	Bad Santa	2003	7.1	154775
tt0308644	movie	Finding Neverland	2004	7.7	211580
tt0309698	movie	Identity	2003	7.3	265658
tt0309987	movie	The Dreamers	2003	7.1	130685
tt0310793	movie	Bowling for Columbine	2002	8.0	148403
tt0311113	movie	Master and Commander: The Far Side of the World	2003	7.5	236534
tt0312004	movie	Wallace & Gromit: The Curse of the Were-Rabbit	2005	7.5	145450
tt0313542	movie	Runaway Jury	2003	7.1	104113
tt0314331	movie	Love Actually	2003	7.6	529568
tt0315733	movie	21 Grams	2003	7.6	245154
tt0316654	movie	Spider-Man 2	2004	7.5	702577
tt0317219	movie	Cars	2006	7.2	464592
tt0317248	movie	City of God	2002	8.6	796117
tt0317705	movie	The Incredibles	2004	8.0	801908
